#TYPE Selected.Microsoft.Management.Infrastructure.CimInstance,,
Name,StartRange,EndRange
SCOPE01,10.10.1.70,10.10.1.254
SCOPE02,10.215.7.50,10.215.7.254
SCOPE03,10.215.9.21,10.215.9.254
SCOPE04,10.215.10.51,10.215.10.254
SCOPE05,10.215.12.20,10.215.12.254
SCOPE06,10.215.13.20,10.215.13.254
SCOPE07,10.215.14.30,10.215.14.254
SCOPE08,10.215.20.50,10.215.20.254
SCOPE09,10.215.21.50,10.215.21.254
SCOPE10,10.215.31.61,10.215.31.254
SCOPE11,10.215.32.50,10.215.32.254
SCOPE12,10.215.34.30,10.215.34.254
SCOPE13,10.215.36.100,10.215.36.254
SCOPE14,10.215.40.10,10.215.40.254
SCOPE15,10.215.41.100,10.215.41.254
SCOPE16,10.215.100.101,10.215.100.254
SCOPE17,10.215.101.210,10.215.101.254
SCOPE18,10.215.103.210,10.215.103.254
